ID,condition,time,batch
SR2p_T0.1,case,0,B1
SR2p_T0.2,case,0,B2
SR2p_T0.3,case,0,B3
SR2p_T20.1,case,20,B1
SR2p_T20.2,case,20,B2
SR2p_T20.3,case,20,B3
SR2p_T40.1,case,40,B1
SR2p_T40.2,case,40,B2
SR2p_T60.1,case,60,B1
SR2p_T60.2,case,60,B2
SR2p_T60.3,case,60,B3
SR2p_T80.1,case,80,B1
SR2p_T80.2,case,80,B2
SR2p_T80.3,case,80,B3
SR2p_T100.1,case,100,B1
SR2p_T100.2,case,100,B2
SR2p_T100.3,case,100,B3
SR2p_T120.1,case,120,B1
SR2p_T120.2,case,120,B2
SR2p_T120.3,case,120,B3
SR2p_T140.1,case,140,B1
SR2p_T140.2,case,140,B2
SR2p_T140.3,case,140,B3
SR2p_T160.1,case,160,B1
SR2p_T160.2,case,160,B2
SR2p_T160.3,case,160,B3
SR2p_T180.1,case,180,B1
SR2p_T180.2,case,180,B2
SR2p_T180.3,case,180,B3
